"Reporter","Year","Sector","Subsector","Primary NAICS Code","NAICS Definition","Parent Company","City","County","Jurisdiction","Reported Emissions (MTCO2e)","Biogenic Carbon Dioxide (MTCO2e)","Carbon Dioxide (MTCO2e)","Methane (MTCO2e)","Nitrous Oxide (MTCO2e)","HFCs (MTCO2e)","PFCs (MTCO2e)","Sulfur Hexafluoride (MTCO2e)","Fluorinated - Other (MTCO2e)","Notes","Point Size","Location","Covered Emissions (MT CO2e)","CCA Status","Georeferenced Location"
"DH Feeders - Eltopia","2016","Livestock","Cattle Feedlots","112112","Cattle Feedlots","Easterday Ranches","Eltopia","Franklin","Ecology: Eastern Regional Office","15,384","0","1,172","1,101","13,112","0","0","0","0",,"1","46.50919, -118.881203",,,"POINT (-118.881203 46.50919)"
"Ardagh Glass Inc. - Seattle","2014","Minerals","Glass Production","327213","Glass Container Manufacturing","Ardagh Holdings USA Inc.","Seattle","King","Puget Sound Clean Air Agency","78,044","0","77,984","28","33","0","0","0","0",,"2","47.55242, -122.33739",,,"POINT (-122.33739 47.55242)"
"Ash Grove Cement Company - Seattle","2021","Minerals","Cement Production","327310","Cement Manufacturing","Ash Grove Cement Co.","Seattle","King","Puget Sound Clean Air Agency","359,054","0","358,395","262","396","0","0","0","0",,"3","47.56799, -122.34255",,,"POINT (-122.34255 47.56799)"
"Interfor US, Inc. - Port Angeles","2014","Wood Products","Lumber Mills","321113","Sawmills","Interfor US Inc.","Port Angeles","Clallam","Olympic Region Clean Air Agency","45,263","44,666","0","86","511","0","0","0","0",,"2","48.103425, -123.518642",,,"POINT (-123.518642 48.103425)"
"Frederickson Power LP - Tacoma","2021","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Puget Sound Energy, Inc. and Capital Power (US Holdings) Inc","Tacoma","Pierce","Puget Sound Clean Air Agency","493,541","0","493,040","229","273","0","0","0","0",,"3","47.086342, -122.365686",,,"POINT (-122.365686 47.086342)"
"Cascade Hardwood LLC - Chehalis","2018","Wood Products","Lumber Mills","321113","Sawmills","Cascade Hardwood LLC","Chehalis","Lewis","Southwest Clean Air Agency","9,801","9,667","5","19","111","0","0","0","0",,"1","46.635062, -122.930338",,,"POINT (-122.930338 46.635062)"
"LRI Landfill - Graham","2023","Waste","Landfills","562212","Solid Waste Landfill","Waste Connections Inc.","Graham","Pierce","Puget Sound Clean Air Agency","163,427","44,056","0","119,212","159","0","0","0","0",,"3","46.972405, -122.292799",,"Reporter","POINT (-122.292799 46.972405)"
"Air Liquide Electronics Moses Lake Hydrogen Plant","2015","Chemicals","Other Chemicals","325120","Industrial Gas Manufacturing","Air Liquide USA Inc.","Moses Lake","Grant","Ecology: Eastern Regional Office","15,163","0","15,163","0","0","0","0","0","0",,"1","47.135844, -119.19962",,,"POINT (-119.19962 47.135844)"
"US Army Joint Base Lewis-McChord - Pierce Co.","2018","Government","National Security","928110","National Security","US Government","Joint Base Lewis-McChord","Pierce","Puget Sound Clean Air Agency","84,389","0","66,731","17,619","39","0","0","0","0",,"2","47.1142, -122.5365",,,"POINT (-122.5365 47.1142)"
"Puget Sound Energy - Encogen Generating Station - Bellingham","2015","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Puget Holdings LLC","Bellingham","Whatcom","Northwest Clean Air Agency","143,119","0","142,974","66","79","0","0","0","0",,"3","48.746, -122.486",,,"POINT (-122.486 48.746)"
"Sierra Pacific Industries - Aberdeen","2013","Wood Products","Lumber Mills","321113","Sawmills","Sierra Pacific Industries","Aberdeen","Grays Harbor","Olympic Region Clean Air Agency","244,793","240,941","634","463","2,756","0","0","0","0",,"3","46.971875, -123.775526",,,"POINT (-123.775526 46.971875)"
"Waste Management Greater Wenatchee Regional Landfill - East Wenatchee","2015","Waste","Landfills","562212","Solid Waste Landfill","Waste Management Inc.","East Wenatchee","Douglas","Ecology: Central Regional Office","31,208","0","0","31,208","0","0","0","0","0",,"2","47.405083, -120.167444",,,"POINT (-120.167444 47.405083)"
"Lamb Weston - Pasco","2017","Food Production","Potato Products","311411","Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.","Pasco","Franklin","Ecology: Eastern Regional Office","50,961","0","50,908","24","29","0","0","0","0",,"2","46.288137, -119.115336",,,"POINT (-119.115336 46.288137)"
"Northwest Pipeline C/S - Snohomish","2013","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Snohomish","Snohomish","Puget Sound Clean Air Agency","33,173","0","32,566","590","18","0","0","0","0",,"2","47.78825, -122.05859",,,"POINT (-122.05859 47.78825)"
"Ponderay Industries - Usk","2019","Pulp and Paper","Other Pulp and Paper","322122","Newsprint Mills","Ponderay Industries","Usk","Pend Oreille","Ecology: Eastern Regional Office","43,796","39,882","3,368","81","466","0","0","0","0",,"2","48.289771, -117.271359",,,"POINT (-117.271359 48.289771)"
"Pasco Processing LLC - Pasco","2019","Food Production","Other Food Products","311991","Perishable Prepared Food Manufacturing","Oregon Potato Co.","Pasco","Franklin","Ecology: Eastern Regional Office","13,231","0","13,217","6","7","0","0","0","0",,"1","46.28274, -119.097528",,,"POINT (-119.097528 46.28274)"
"Mutual Materials Mica Brick Plant - Spokane","2017","Minerals","Other Minerals","327120","Clay Building Material and Refractories Manufacturing","Mutual Materials Co.","Spokane","Spokane","Spokane Regional Clean Air Agency","10,603","0","10,592","5","6","0","0","0","0",,"1","47.55833, -117.2117",,,"POINT (-117.2117 47.55833)"
"Imerys Minerals Quincy Plant - Quincy","2013","Minerals","Other Minerals","212399","All Other Nonmetallic Mineral Mining","Imerys Filtration Minerals Inc.","Quincy","Grant","Ecology: Eastern Regional Office","22,556","0","22,533","11","13","0","0","0","0",,"1","47.239948, -119.838831",,,"POINT (-119.838831 47.239948)"
"Georgia-Pacific Gypsum LLC - Tacoma","2021","Manufacturing","Building Products","327420","Gypsum Product Manufacturing","Koch Industries Inc.","Tacoma","Pierce","Puget Sound Clean Air Agency","39,502","0","39,461","19","22","0","0","0","0",,"2","47.269558, -122.394869",,,"POINT (-122.394869 47.269558)"
"Great Western Malt - Vancouver","2016","Food Production","Other Food Products","311213","Malt Manufacturing","Great Western Malt","Vancouver","Clark","Southwest Clean Air Agency","17,085","0","17,067","8","10","0","0","0","0",,"1","45.631069, -122.690043",,,"POINT (-122.690043 45.631069)"
"Alon Asphalt Company - Seattle","2017","Petroleum Systems","Other Petroleum Systems","424710","Petroleum Bulk Stations and Terminals","Delek US Holdings Inc.","Seattle","King","Puget Sound Clean Air Agency","14,818","0","14,782","29","8","0","0","0","0",,"1","47.781642, -122.395299",,,"POINT (-122.395299 47.781642)"
"Par Petroleum, LLC -Houston","2022","Supplier","Other Fuel Supplier","324110","Petroleum Refineries","Par Pacific Holdings, LLC","Houston","Harris",,"2,442,552","139,671","2,274,883","2,213","25,786","0","0","0","0",,,,,,
"Tree Top - Selah Campus","2017","Food Production","Fruit Products","311423","Dried and Dehydrated Food Manufacturing","Tree Top Inc.","Selah","Yakima","Yakima Regional Clean Air Agency","14,762","0","14,746","7","8","0","0","0","0",,"1","46.64992, -120.52755",,,"POINT (-120.52755 46.64992)"
"Seattle-Tacoma International Airport - Seattle","2012","Government","Other Government","488119","Other Airport Operations","Port of Seattle","Seattle","King","Puget Sound Clean Air Agency","14,272","0","14,257","7","8","0","0","0","0",,"1","47.443643, -122.302452",,,"POINT (-122.302452 47.443643)"
"Nutrien US LLC. - Kennewick","2017","Chemicals","Fertilizer Production","325311","Nitrogenous Fertilizer Manufacturing","Agrium US Inc.","Kennewick","Benton","Benton Clean Air Agency","144,080","0","10,992","1","133,087","0","0","0","0",,"3","46.165957, -119.017218",,,"POINT (-119.017218 46.165957)"
"Public Utility District No. 1 of Grays Harbor County - Aberdeen","2023","Power","COU","2211","Electric Power Generation, Transmission and Distribution","Public Utility District No. 1 of Grays Harbor County","Aberdeen","Grays Harbor",,"21,680",,,,,,,,,,,,,"Reporter",
"Cardinal FG Company - Winlock","2016","Minerals","Glass Production","327211","Flat Glass Manufacturing","Cardinal Glass Industries Inc.","Winlock","Lewis","Southwest Clean Air Agency","107,246","0","107,170","35","41","0","0","0","0",,"3","46.544937, -122.926313",,,"POINT (-122.926313 46.544937)"
"Puget Sound Energy - Mint Farm Generating Station - Longview","2017","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Puget Holdings LLC","Longview","Cowlitz","Southwest Clean Air Agency","356,270","0","355,908","165","197","0","0","0","0",,"3","46.140095, -122.985138",,,"POINT (-122.985138 46.140095)"
"Goodrich Corporation - Spokane","2016","Manufacturing","Transportation Industry","336413","Other Aircraft Parts and Auxiliary Equipment Manufacturing","Raytheon Technologies Corp","Spokane","Spokane","Spokane Regional Clean Air Agency","45,107","0","45,064","20","24","0","0","0","0",,"2","47.583604, -117.568511",,,"POINT (-117.568511 47.583604)"
"Inland Power & Light Co - Spokane","2023","Power","COU","221122","Electric Power Distribution",,"Spokane","Spokane",,"15,561",,,,,,,,,,,,,"Reporter",
"McKinley Paper Co. - Washington Mill - Port Angeles","2012","Pulp and Paper","Other Pulp and Paper","322121","Paper (except Newsprint) Mills","McKinley Paper Co.","Port Angeles","Clallam","Olympic Region Clean Air Agency","117,631","109,231","1,724","5,214","1,462","0","0","0","0",,"3","48.134623, -123.467524",,,"POINT (-123.467524 48.134623)"
"King County Solid Waste Cedar Hills Landfill - Maple Valley","2015","Waste","Landfills","562212","Solid Waste Landfill","King County Solid Waste Division","Maple Valley","King","Puget Sound Clean Air Agency","74,823","0","176","74,648","0","0","0","0","0","Assigned emissions level: reported under obsolete method.","2","47.462625, -122.046025",,,"POINT (-122.046025 47.462625)"
"Tree Top - Prosser","2022","Food Production","Fruit Products","311411","Frozen Fruit, Juice, and Vegetable Manufacturing","Tree Top Inc.","Prosser","Benton","Benton Clean Air Agency","14,570","0","14,555","7","8","0","0","0","0",,"1","46.21842, -119.73397",,,"POINT (-119.73397 46.21842)"
"Bio Energy Washington, LLC - Maple Valley","2020","Power Plants","Other Power, Heating, or Cooling Plants","221119","Other Electric Power Generation","Bio Energy Washington","Maple Valley","King","Puget Sound Clean Air Agency","23,405","22,271","1,016","35","83","0","0","0","0",,"1","47.455871, -122.041817",,,"POINT (-122.041817 47.455871)"
"Mason Public Utility District 3 - Shelton","2022","Power","COU","2211","Electric Power Generation, Transmission and Distribution","Mason Public Utility District 3","Shelton","Mason",,"11,614",,,,,,,,,,,,,,
"Marathon Anacortes Refinery - Anacortes","2023","Petroleum Systems","Petroleum Refineries","324110","Petroleum Refineries","Marathon Petroleum Corp","Anacortes","Skagit","Northwest Clean Air Agency","1,202,267","0","1,196,960","2,228","3,079","0","0","0","0",,"4","48.493816, -122.564845","1,202,228","Covered Entity","POINT (-122.564845 48.493816)"
"U.S. Department of Energy Hanford Site - Richland","2017","Government","Other Government","924110","Administration of Air and Water Resource and Solid Waste Management Programs","US Government","Richland","Benton","Ecology: NWP","14,744","0","5,157","9,523","8","0","0","57","0",,"1","46.55069, -119.489007",,,"POINT (-119.489007 46.55069)"
"Bonneville Power Administration - WA Only - statewide","2020","Power Plants","Electrical Transmission and Distribution","221121","Electric Bulk Power Transmission and Control","US Government","Vancouver","Clark","Southwest Clean Air Agency","10,395","0","0","0","0","0","0","10,395","0",,"1","45.661178, -122.658608",,,"POINT (-122.658608 45.661178)"
"Cowlitz County Headquarters Landfill - Castle Rock","2019","Waste","Landfills","562212","Solid Waste Landfill","Cowlitz County","Castle Rock","Cowlitz","Southwest Clean Air Agency","253,886","7,603","0","246,255","27","0","0","0","0",,"3","46.246902, -122.772284",,,"POINT (-122.772284 46.246902)"
"Northwest Pipeline Willard C/S - Cook","2020","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Cook","Skamania","Southwest Clean Air Agency","20,101","0","18,154","1,937","10","0","0","0","0",,"1","45.778087, -121.626311",,,"POINT (-121.626311 45.778087)"
"Puget Sound Energy - Bellevue","2022","Power","IOU",,,"Puget Sound Energy","Bellevue","King",,"3,419,340",,,,,,,,,,,,,,
"Solvay Chemicals, Inc. - Longview","2016","Chemicals","Other Chemicals","325180","Other Basic Inorganic Chemical Manufacturing","Solvay Chemicals Inc.","Longview","Cowlitz","Southwest Clean Air Agency","47,667","0","47,667","0","0","0","0","0","0",,"2","46.137218, -122.982847",,,"POINT (-122.982847 46.137218)"
"Gas Transmission Northwest Compressor Station 6, LLC - Rosalia","2014","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","TransCanada Northern Border Inc.","Rosalia","Whitman","Spokane Regional Clean Air Agency","75,083","0","73,574","1,468","41","0","0","0","0",,"2","47.277256, -117.406737",,,"POINT (-117.406737 47.277256)"
"El Oro Cattle Feeders, LLC - Moses Lake","2018","Livestock","Cattle Feedlots","112112","Cattle Feedlots","Agri Beef Co.","Moses Lake","Grant","Ecology: Eastern Regional Office","26,710","0","0","2,068","24,642","0","0","0","0",,"2","47.052176, -119.093815",,,"POINT (-119.093815 47.052176)"
"PUD No1 of Clallam County - Clallam","2022","Power","COU","221121","Electric Bulk Power Transmission and Control","PUD No1 of Clallam County","Sequim","Clallam",,"11,536",,,,,,,,,,,,,,
"Darigold - Lynden","2014","Food Production","Dairy Products","311514","Dry, Condensed, and Evaporated Dairy Product Manufacturing","Darigold Inc.","Lynden","Whatcom","Northwest Clean Air Agency","21,683","0","21,661","10","12","0","0","0","0",,"1","48.947567, -122.451915",,,"POINT (-122.451915 48.947567)"
"Puget Sound Energy - Sumas Generating Station - Sumas","2021","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Puget Holdings LLC","Sumas","Whatcom","Northwest Clean Air Agency","246,885","0","246,634","114","136","0","0","0","0",,"3","48.9905, -122.2733",,,"POINT (-122.2733 48.9905)"
"Basic American Foods - Moses Lake","2013","Food Production","Potato Products","311423","Dried and Dehydrated Food Manufacturing","Basic American Inc.","Moses Lake","Grant","Ecology: Eastern Regional Office","28,312","0","28,283","13","16","0","0","0","0",,"2","47.075183, -119.220408",,,"POINT (-119.220408 47.075183)"
"The Boeing Company - Fabrication (Frederickson Site) - Puyallup","2022","Manufacturing","Transportation Industry","336411","Aircraft Manufacturing","The Boeing Company","Puyallup","Pierce","Puget Sound Clean Air Agency","14,289","0","14,275","7","8","0","0","0","0",,"1","47.088831, -122.34862",,,"POINT (-122.34862 47.088831)"
"Seattle-Tacoma International Airport - Seattle","2022","Government","Other Government","488119","Other Airport Operations","Port of Seattle","Seattle","King","Puget Sound Clean Air Agency","16,094","0","16,077","8","10","0","0","0","0",,"1","47.443643, -122.302452",,,"POINT (-122.302452 47.443643)"
"Interfor US, Inc. - Tacoma","2014","Wood Products","Lumber Mills","321113","Sawmills","Simpson Lumber Company LLC","Tacoma","Pierce","Puget Sound Clean Air Agency","16,287","0","16,270","8","9","0","0","0","0","Last year reporting.  Facility shut down.","1","47.260211, -122.426476",,,"POINT (-122.426476 47.260211)"
"Fred Meyer Stores Inc","2023","Supplier","Other Fuel Supplier","457120","Other Gasoline Stations","KROGER CO","Hutchinson","Reno",,"30,580","2,020","28,021","44","495","0","0","0","0",,,,"28,560","Covered Entity",
"Naval Air Station Whidbey Island - Oak Harbor","2020","Government","National Security","928110","National Security","US Government","Oak Harbor","Island","Northwest Clean Air Agency","14,078","0","14,063","7","9","0","0","0","0",,"1","48.345281, -122.669741",,,"POINT (-122.669741 48.345281)"
